-- more modifier links: https://developer.valvesoftware.com/wiki/Dota_2_Workshop_Tools/Scripting/Built-In_Modifier_Names

"modifier_life_stealer_infest"	"正在感染一个宿主"
"modifier_fountain_glyph"	"防御符文"
"modifier_courier_return_stash_items"	"正在将物品送回储藏处"
"modifier_courier_take_stash_items"	"正在从储藏处取回物品"
"modifier_courier_transfer_items"	"将物品送达英雄处"
"modifier_courier_burst"	"加速"
"modifier_teleporting"	"传送"
"modifier_backdoor_protection"	"偷塔保护"
"modifier_pudge_rot"	"腐烂"
"modifier_pudge_flesh_heap"	"腐肉堆积"
"modifier_pudge_dismember"	"肢解"
"modifier_pudge_meat_hook"	"肉钩"
"modifier_bane_enfeeble"	"虚弱"
"modifier_bane_nightmare"	"噩梦"
"modifier_bane_fiends_grip"	"魔爪"
"modifier_storm_spirit_electric_vortex_self_slow"	"电子漩涡减速"
"modifier_storm_spirit_electric_vortex_pull"	"电子漩涡牵引"
"modifier_storm_spirit_overload"	"超负荷"
"modifier_storm_spirit_overload_debuff"	"超负荷减速"
"modifier_storm_spirit_ball_lightning"	"球状闪电"
"modifier_phantom_assassin_stiflingdagger"	"窒息之刃"
"modifier_skeleton_king_hellfire_blast"	"冥火暴击"
"modifier_skeleton_king_vampiric_aura_buff"	"吸血光环"
"modifier_skeleton_king_reincarnate_slow"	"重生"
"modifier_drow_ranger_frost_arrows_slow"	"霜冻之箭减速"
"modifier_juggernaut_blade_fury"	"剑刃风暴"
"modifier_juggernaut_blade_dance"	"剑舞"
"modifier_juggernaut_healing_ward_aura"	"治疗守卫"
"modifier_juggernaut_healing_ward_heal"	"治疗守卫光环"
"modifier_juggernaut_omnislash"	"无敌斩"
"modifier_earthshaker_enchant_totem"	"强化图腾"
"modifier_earthshaker_fissure_stun"	"沟壑"
"modifier_mirana_leap_buff"	"跳跃"
"modifier_mirana_moonlight_shadow"	"月之暗面"
"modifier_nevermore_necromastery"	"支配死灵"
"modifier_nevermore_presence"	"魔王降临"
"modifier_nevermore_requiem"	"魂之挽歌"
"modifier_sandking_impale"	"掘地穿刺"
"modifier_sandking_sand_storm"	"沙尘暴"
"modifier_sandking_sand_storm_invis"	"沙尘暴隐身"
"modifier_sand_king_caustic_finale_orb"	"腐蚀毒"
"modifier_sand_king_epicenter"	"地震"
"modifier_sand_king_epicenter_slow"	"地震减速"
"modifier_sven_warcry"	"战吼"
"modifier_sven_gods_strength"	"神之力量"
"modifier_crystal_maiden_crystal_nova"	"冰晶新星"
"modifier_crystal_maiden_frostbite"	"冰封禁制"
"modifier_crystal_maiden_brilliance_aura_effect"	"奥术光环"
"modifier_crystal_maiden_freezing_field_slow"	"极寒领域减速"
"modifier_bloodseeker_bloodrage"	"血之狂暴"
"modifier_bloodseeker_blood_bath"	"屠戮"
"modifier_bloodseeker_thirst_speed"	"嗜血加速"
"modifier_bloodseeker_rupture"	"割裂"
"modifier_axe_berserkers_call"	"狂战士的怒吼"
"modifier_axe_berserkers_call_armor"	"护甲加成"
"modifier_axe_battle_hunger"	"战斗饥渴"
"modifier_axe_counter_helix"	"反击螺旋"
"modifier_phantom_lancer_spirit_lance"	"灵魂之矛"
"modifier_razor_static_link_buff"	"静电链接"
"modifier_razor_static_link_debuff"	"静电链接"
"modifier_razor_unstable_current"	"不稳定电流"
"modifier_razor_eye_of_the_storm"	"风暴之眼"
"modifier_razor_eye_of_the_storm_armor"	"风暴之眼减甲"
"modifier_razor_unstablecurrent_slow"	"不稳定电流"
"modifier_morphling_morph_str"	"力量转换"
"modifier_morphling_morph_agi"	"敏捷转换"
"modifier_morphling_morph"	"属性转换"
"modifier_kunkka_tidebringer"	"潮汐使者"
"modifier_kunkka_torrent"	"洪流"
"modifier_kunkka_torrent_slow"	"洪流减速"
"modifier_kunkka_ghost_ship_damage_delay"	"朗姆酒麻木时间"
"modifier_kunkka_x_marks_the_spot"	"地图地标"
"modifier_zuus_static_field"	"静电场"
"modifier_lich_slow"	"霜冻减速"
"modifier_lich_frost_armor"	"霜冻护甲"
"modifier_tidehunter_gush"	"巨浪"
"modifier_tidehunter_ravage"	"毁灭"
"modifier_tidehunter_anchor_smash"	"锚击"
"modifier_shadow_shaman_voodoo"	"巫术"
"modifier_shadow_shaman_shackles"	"枷锁"
"modifier_puck_phase_shift"	"相位转移"
"modifier_puck_coiled"	"被梦境缠绕"
"modifier_tiny_avalanche_stun"	"山崩"
"modifier_vengefulspirit_wave_of_terror"	"恐怖波动"
